Name,study_hours,sleep_hours,focus_level,stress_level,break_time,revision,screen_time,physical_activity,attendance,previous_marks,performance
Sakshi Sharma,8.9,6.6,5,2,17,1,5,0,88,78,100
Rohit Sharma,3.2,9.4,6,6,6,1,7.6,0,82,68,86
Anaya Gupta,6.8,8.5,4,3,12,0,4,1,72,75,94
Meera Roy,3.5,8,7,2,19,1,6.3,0,78,82,95
Krishna Desai,5.4,7.8,7,3,11,1,1,0,78,65,94
Anika Desai,3.1,6,6,2,27,1,6.1,1,94,67,100
Sakshi Kulkarni,3,6,7,9,6,0,1.8,1,76,31,71
Myra Reddy,5.1,7.6,8,7,12,1,3.1,1,100,88,100
Pooja Shah,5.6,5.3,3,2,15,1,8.3,1,86,54,96
Atharva Banerjee,3.6,6.7,5,5,15,1,3.4,1,89,100,100
Atharva Singh,4.1,6.4,8,3,12,1,7.7,1,80,80,100
Neha Agarwal,3.1,7.7,8,6,12,0,2,1,83,93,100
Nikhil Gupta,4.8,5.8,7,4,5,1,4.7,1,72,76,100
Palak Sharma,2.9,7.1,8,8,16,1,2.9,0,85,71,85
Neha Singh,4.9,6.6,4,6,17,0,5.4,0,78,96,91
Aditya Trivedi,3.8,6.5,10,5,13,0,4.6,0,95,48,100
Riya Pandey,3.8,7.4,8,4,14,1,2.8,1,62,100,100
Vivaan Reddy,5.9,9.3,5,5,20,1,5.5,1,72,81,100
Neha Bansal,6.3,6.6,4,5,7,0,5.7,0,80,51,83
Aman Desai,2.7,5.7,9,7,15,1,6.2,1,81,100,100
Ankit Trivedi,5.7,6.2,8,7,25,0,7,1,81,44,86
Vivaan Kulkarni,5.2,5.1,7,4,11,0,2.2,1,80,64,94
Anika Reddy,3.5,7.2,9,7,7,1,6,0,99,63,95
Harsh Mehta,2.8,5.7,10,3,17,1,4.6,0,81,57,95
Dhruv Chatterjee,6.1,7,6,8,9,1,1.9,1,91,74,100
Riya Das,2.6,6.6,7,5,14,0,3.9,0,85,55,85
Kavya Gupta,5.3,6.7,7,6,15,1,2.7,1,85,70,100
Priya Pandey,6.4,5.6,6,6,11,0,8.7,0,100,71,100
Tanvi Banerjee,5,7.2,10,4,7,0,7.2,1,81,52,96
Rahul Chatterjee,4.2,5.9,5,4,12,1,4.3,0,100,65,100
Diya Joshi,4.3,7,6,7,18,0,3.4,0,89,51,76
Anaya Tiwari,5.6,7.6,6,9,24,0,5.8,0,73,78,92
Aditya Bansal,6.5,7.7,5,8,21,0,4.8,1,78,60,97
Varun Verma,5.7,8.2,7,5,13,0,6.4,1,93,46,97
Reyansh Iyer,3.9,5.6,5,7,9,0,7.4,1,90,78,88
Anika Chatterjee,6.2,5.9,7,3,19,1,7.6,0,81,73,100
Ishaan Chatterjee,5.8,5.5,7,2,8,0,3.6,0,95,77,100
Sakshi Goyal,5,8,8,6,7,0,5,0,93,93,100
Aadhya Patel,6,4.9,6,4,13,0,6.5,1,82,84,100
Vihaan Saxena,7.2,8.5,6,2,19,1,6.3,1,81,63,100
Kavya Chauhan,2.9,5.5,6,7,16,0,7.9,1,84,82,88
Rudra Kulkarni,6.9,8.1,6,5,5,0,5.8,0,87,87,100
Ishaan Shah,3.9,7,6,2,13,0,2.8,0,75,76,100
Sneha Joshi,4.8,8.1,6,3,12,1,6.9,0,100,73,100
Vivaan Mishra,2.2,6.9,9,6,20,1,5.2,1,86,51,75
Ira Chauhan,8.2,6.9,5,8,12,0,5.6,1,79,79,100
Rahul Nair,4.1,6.5,5,3,23,1,7.9,0,75,85,93
Reyansh Mishra,3.3,6.1,5,2,10,1,6.4,0,91,59,92
Krishna Gupta,3.8,7.2,5,5,12,1,6.5,0,86,91,100
Manav Bose,6.7,5.8,9,7,5,1,6.7,1,76,88,100
Rudra Pandey,4.6,6.2,7,4,13,0,6,1,99,75,100
Saanvi Mehta,5.7,6.5,6,7,10,0,5.3,0,89,66,98
Nikhil Nair,2.9,6.9,9,5,12,1,3.3,0,82,77,98
Palak Das,2.4,7,4,7,24,0,4.6,1,83,79,77
Vihaan Roy,3.6,5.6,8,3,18,1,5.4,0,81,79,100
Vivaan Bose,3.7,7.1,9,7,11,1,4.9,0,83,62,91
Sai Kulkarni,5.8,7.9,7,6,19,1,3.3,0,89,62,95
Tanvi Iyer,3.2,7.6,7,8,15,0,1.3,1,100,73,98
Vihaan Kulkarni,4.9,8.5,5,7,19,1,7.1,1,95,51,91
Rohit Das,3.7,6.3,6,7,10,0,3.6,1,82,67,85
Aadhya Joshi,4.5,6.6,4,6,17,0,3.4,1,94,31,84
Sneha Kumar,1.2,7.4,8,2,12,1,6.5,1,89,66,94
Tanishq Mishra,5.3,7.8,8,5,10,0,5.8,1,99,45,97
Shaurya Shah,3.6,6.3,8,4,15,1,1.2,1,89,79,100
Nikhil Sharma,5,8.4,7,4,9,1,6.6,0,98,46,98
Rudra Kulkarni,5.5,4.9,10,7,18,0,6.2,0,74,35,85
Karan Gupta,4.2,6,8,5,16,1,6,1,100,85,100
Anaya Yadav,4,9.4,8,6,11,0,9.5,1,100,100,100
Krishna Bansal,2.1,7.9,7,3,18,1,3.4,0,91,63,89
Rudra Chauhan,7.1,4.6,7,5,21,1,1,1,70,77,100
Pooja Desai,6.2,7.6,5,5,16,0,6.5,0,73,58,93
Palak Roy,7.8,7.3,7,4,5,1,7.5,0,74,72,100
Anika Bose,5.8,6.3,6,5,20,1,7.7,1,81,73,99
Diya Tiwari,3.8,6.6,8,7,15,1,4.5,0,81,64,85
Aadhya Shah,3.9,7.5,8,8,14,0,5.6,0,65,68,86
Neha Saxena,3.3,7.4,6,6,29,1,7.3,1,85,51,79
Sneha Bose,2.6,6.1,10,4,22,1,7.2,0,85,66,88
Kavya Jain,4.2,6.4,7,7,9,0,6.7,1,91,70,96
Ishita Goyal,4.8,7.4,6,6,12,0,4.6,0,92,78,94
